type,item,dist,roundedFreq,frequency,val
predictive,S1,rare_weak,0.725,70,0.9103456706622877
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.6196759392128506
prior,stableFreq,common_deterministic,mean,NA,0.9457086622306565
prior,stableFreq,common_deterministic,sampleSize,NA,2.8829012385550223
predictive,S1,common_deterministic,0.225,20,0.1495801684271952
predictive,S1,common_deterministic,0.725,70,0.5917200671489713
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,13.491014845203608
predictive,S1,common_weak,0.225,20,0.54456773507787
predictive,S1,common_weak,0.725,70,0.9078551966159444
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7557993544757846
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5520321018299719
predictive,S1,rare_weak,0.725,70,0.9103456706622877
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.6196759392128506
prior,stableFreq,common_deterministic,mean,NA,0.9457086622306565
prior,stableFreq,common_deterministic,sampleSize,NA,0.9308285343656207
predictive,S1,common_deterministic,0.225,20,0.14973842923224223
predictive,S1,common_deterministic,0.725,70,0.5920204682188073
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,13.491014845203608
predictive,S1,common_weak,0.225,20,0.54456773507787
predictive,S1,common_weak,0.725,70,0.9078551966159444
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7557993544757846
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5520321018299719
predictive,S1,rare_weak,0.725,70,0.9103456706622877
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.567048141322396
prior,stableFreq,common_deterministic,mean,NA,0.9457086622306565
prior,stableFreq,common_deterministic,sampleSize,NA,0.9308285343656207
predictive,S1,common_deterministic,0.225,20,0.17059131362793492
predictive,S1,common_deterministic,0.725,70,0.6289082318078751
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,13.491014845203608
predictive,S1,common_weak,0.225,20,0.54456773507787
predictive,S1,common_weak,0.725,70,0.9078551966159444
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7557993544757846
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5520321018299719
predictive,S1,rare_weak,0.725,70,0.9103456706622877
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.567048141322396
prior,stableFreq,common_deterministic,mean,NA,0.9457086622306565
prior,stableFreq,common_deterministic,sampleSize,NA,0.9308285343656207
predictive,S1,common_deterministic,0.225,20,0.17059131362793492
predictive,S1,common_deterministic,0.725,70,0.6289082318078751
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7601469831102077
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5496289426870364
predictive,S1,rare_weak,0.725,70,0.9095497610039639
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.567048141322396
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,0.28314693194897556
predictive,S1,common_deterministic,0.225,20,0.23418171495859125
predictive,S1,common_deterministic,0.725,70,0.7158830215447017
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7601469831102077
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5496289426870364
predictive,S1,rare_weak,0.725,70,0.9095497610039639
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.567048141322396
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,0.7917456360024475
predictive,S1,common_deterministic,0.225,20,0.2339868476701917
predictive,S1,common_deterministic,0.725,70,0.7156619021434976
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7601469831102077
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5496289426870364
predictive,S1,rare_weak,0.725,70,0.9095497610039639
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.655878384373448
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,0.8189897498195676
predictive,S1,common_deterministic,0.225,20,0.19161485023905359
predictive,S1,common_deterministic,0.725,70,0.6613748480338397
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7601469831102077
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5496289426870364
predictive,S1,rare_weak,0.725,70,0.9095497610039639
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.655878384373448
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,0.8189897498195676
predictive,S1,common_deterministic,0.225,20,0.19161485023905359
predictive,S1,common_deterministic,0.725,70,0.6613748480338397
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7601469831102077
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5496289426870364
predictive,S1,rare_weak,0.725,70,0.9095497610039639
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.655878384373448
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,1.9380409475024303
predictive,S1,common_deterministic,0.225,20,0.19138015662432095
predictive,S1,common_deterministic,0.725,70,0.6610352775827104
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7910591801189366
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5328522829520206
predictive,S1,rare_weak,0.725,70,0.9038346208698418
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.655878384373448
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,4.281022299813278
predictive,S1,common_deterministic,0.225,20,0.19113878723535643
predictive,S1,common_deterministic,0.725,70,0.6606855432439221
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7910591801189366
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5328522829520206
predictive,S1,rare_weak,0.725,70,0.9038346208698418
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3202054534169669
predictive,S1,rare_deterministic,0.725,70,0.795133338355592
prior,mixture,common_deterministic,NA,NA,0.6772766132460155
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,3.56655573917871
predictive,S1,common_deterministic,0.225,20,0.18267620181607686
predictive,S1,common_deterministic,0.725,70,0.6480909142608098
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5446324414184585
predictive,S1,common_weak,0.725,70,0.90787701976449
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7910591801189366
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5348279259367519
predictive,S1,rare_weak,0.725,70,0.9149588734247035
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3456975744901706
predictive,S1,rare_deterministic,0.725,70,0.8317668173470583
prior,mixture,common_deterministic,NA,NA,0.6772766132460155
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,3.56655573917871
predictive,S1,common_deterministic,0.225,20,0.16956557994893434
predictive,S1,common_deterministic,0.725,70,0.6564462536095584
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5473093375424775
predictive,S1,common_weak,0.725,70,0.9187894328987246
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7910591801189366
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5348279259367519
predictive,S1,rare_weak,0.725,70,0.9149588734247035
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3456975744901706
predictive,S1,rare_deterministic,0.725,70,0.8317668173470583
prior,mixture,common_deterministic,NA,NA,0.8758347934664406
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,7.5284765747344204
predictive,S1,common_deterministic,0.225,20,0.11234755709526426
predictive,S1,common_deterministic,0.725,70,0.5422051915070801
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5473093375424775
predictive,S1,common_weak,0.725,70,0.9187894328987246
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5504665555063117
predictive,S1,rare_weak,0.725,70,0.9197357740228745
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3456975744901706
predictive,S1,rare_deterministic,0.725,70,0.8317668173470583
prior,mixture,common_deterministic,NA,NA,0.8758347934664406
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,3.961848168910117
predictive,S1,common_deterministic,0.225,20,0.1124521410777999
predictive,S1,common_deterministic,0.725,70,0.5424653855737476
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5473093375424775
predictive,S1,common_weak,0.725,70,0.9187894328987246
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5504665555063117
predictive,S1,rare_weak,0.725,70,0.9197357740228745
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3456975744901706
predictive,S1,rare_deterministic,0.725,70,0.8317668173470583
prior,mixture,common_deterministic,NA,NA,0.8758347934664406
prior,stableFreq,common_deterministic,mean,NA,0.7554109796508502
prior,stableFreq,common_deterministic,sampleSize,NA,1.2862405591066017
predictive,S1,common_deterministic,0.225,20,0.11268524099106911
predictive,S1,common_deterministic,0.725,70,0.5430444710138019
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,15.037873783148825
predictive,S1,common_weak,0.225,20,0.5473093375424775
predictive,S1,common_weak,0.725,70,0.9187894328987246
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2441016774624586
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5782948981354185
predictive,S1,rare_weak,0.725,70,0.9277066983716596
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3456975744901706
predictive,S1,rare_deterministic,0.725,70,0.8317668173470583
prior,mixture,common_deterministic,NA,NA,0.8758347934664406
prior,stableFreq,common_deterministic,mean,NA,0.793583695273782
prior,stableFreq,common_deterministic,sampleSize,NA,1.2862405591066017
predictive,S1,common_deterministic,0.225,20,0.10373331041092174
predictive,S1,common_deterministic,0.725,70,0.5199373562774662
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,14.422864285297692
predictive,S1,common_weak,0.225,20,0.5472845105908976
predictive,S1,common_weak,0.725,70,0.9187819557898469
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2441016774624586
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5782948981354185
predictive,S1,rare_weak,0.725,70,0.9277066983716596
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3456975744901706
predictive,S1,rare_deterministic,0.725,70,0.8317668173470583
prior,mixture,common_deterministic,NA,NA,0.8758347934664406
prior,stableFreq,common_deterministic,mean,NA,0.6254953661560368
prior,stableFreq,common_deterministic,sampleSize,NA,1.2862405591066017
predictive,S1,common_deterministic,0.225,20,0.15347115887955035
predictive,S1,common_deterministic,0.725,70,0.6291506571705153
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,14.422864285297692
predictive,S1,common_weak,0.225,20,0.5472845105908976
predictive,S1,common_weak,0.725,70,0.9187819557898469
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2441016774624586
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5782948981354185
predictive,S1,rare_weak,0.725,70,0.9277066983716596
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7647557259115936
prior,stableFreq,rare_deterministic,sampleSize,NA,0.9149851298898393
predictive,S1,rare_deterministic,0.225,20,0.3456649934024437
predictive,S1,rare_deterministic,0.725,70,0.8317466599534533
prior,mixture,common_deterministic,NA,NA,0.8297029427926448
prior,stableFreq,common_deterministic,mean,NA,0.7311496548912776
prior,stableFreq,common_deterministic,sampleSize,NA,1.2862405591066017
predictive,S1,common_deterministic,0.225,20,0.129928781922911
predictive,S1,common_deterministic,0.725,70,0.5828825482243417
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,14.422864285297692
predictive,S1,common_weak,0.225,20,0.5472845105908976
predictive,S1,common_weak,0.725,70,0.9187819557898469
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2441016774624586
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5782948981354185
predictive,S1,rare_weak,0.725,70,0.9277066983716596
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7614103900778653
prior,stableFreq,rare_deterministic,sampleSize,NA,0.9149851298898393
predictive,S1,rare_deterministic,0.225,20,0.347503372735388
predictive,S1,rare_deterministic,0.725,70,0.8328796390287596
prior,mixture,common_deterministic,NA,NA,0.8297029427926448
prior,stableFreq,common_deterministic,mean,NA,0.7311496548912776
prior,stableFreq,common_deterministic,sampleSize,NA,1.2862405591066017
predictive,S1,common_deterministic,0.225,20,0.129928781922911
predictive,S1,common_deterministic,0.725,70,0.5828825482243417
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,14.422864285297692
predictive,S1,common_weak,0.225,20,0.5472845105908976
predictive,S1,common_weak,0.725,70,0.9187819557898469
param,speakerOptimality,S1,NA,NA,1.8861014062969992
prior,mixture,rare_weak,NA,NA,0.7638088319011512
prior,stableFreq,rare_weak,mean,NA,0.2441016774624586
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5782948981354185
predictive,S1,rare_weak,0.725,70,0.9277066983716596
prior,mixture,rare_deterministic,NA,NA,0.3997052536811679
prior,stableFreq,rare_deterministic,mean,NA,0.7614103900778653
prior,stableFreq,rare_deterministic,sampleSize,NA,0.9149851298898393
