type,item,dist,roundedFreq,frequency,val
prior,mixture,rare_weak,NA,NA,0.7682288719818786
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5451902380549052
predictive,S1,rare_weak,0.725,70,0.9080649733591649
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.7222953897522011
prior,stableFreq,common_deterministic,mean,NA,0.9810143992162054
prior,stableFreq,common_deterministic,sampleSize,NA,2.8829012385550223
predictive,S1,common_deterministic,0.225,20,0.11202926570073866
predictive,S1,common_deterministic,0.725,70,0.5096986886215287
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,13.491014845203608
predictive,S1,common_weak,0.225,20,0.54456773507787
predictive,S1,common_weak,0.725,70,0.9078551966159444
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.8187499735050694
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5182851265377545
predictive,S1,rare_weak,0.725,70,0.8986352118077193
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.5530882487625995
prior,stableFreq,common_deterministic,mean,NA,0.9457086622306565
prior,stableFreq,common_deterministic,sampleSize,NA,2.8829012385550223
predictive,S1,common_deterministic,0.225,20,0.17666119107370393
predictive,S1,common_deterministic,0.725,70,0.6387272245063241
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,13.491014845203608
predictive,S1,common_weak,0.225,20,0.54456773507787
predictive,S1,common_weak,0.725,70,0.9078551966159444
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7557993544757846
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5520321018299719
predictive,S1,rare_weak,0.725,70,0.9103456706622877
prior,mixture,rare_deterministic,NA,NA,0.4362633182201534
prior,stableFreq,rare_deterministic,mean,NA,0.7326853899795176
prior,stableFreq,rare_deterministic,sampleSize,NA,0.8373828958674397
predictive,S1,rare_deterministic,0.225,20,0.3367465621240853
predictive,S1,rare_deterministic,0.725,70,0.8070807003214004
prior,mixture,common_deterministic,NA,NA,0.5530882487625995
prior,stableFreq,common_deterministic,mean,NA,0.9457086622306565
prior,stableFreq,common_deterministic,sampleSize,NA,2.8829012385550223
predictive,S1,common_deterministic,0.225,20,0.17666119107370393
predictive,S1,common_deterministic,0.725,70,0.6387272245063241
prior,mixture,common_weak,NA,NA,0.9944979221491649
prior,stableFreq,common_weak,mean,NA,0.20487786055592408
prior,stableFreq,common_weak,sampleSize,NA,13.491014845203608
predictive,S1,common_weak,0.225,20,0.54456773507787
predictive,S1,common_weak,0.725,70,0.9078551966159444
param,speakerOptimality,S1,NA,NA,1.7787923181743595
prior,mixture,rare_weak,NA,NA,0.7557993544757846
prior,stableFreq,rare_weak,mean,NA,0.2592976775020361
prior,stableFreq,rare_weak,sampleSize,NA,1.211932679958249
predictive,S1,rare_weak,0.225,20,0.5520321018299719
