"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","characterName","habitual","n_instances","time_period","rt","response","n_times","log_times"
0,"hobby","truthJudge","ran","female",NA,"Kristina","runs",3,"year",2232,"agree-key",15,2.70805020110221
0,"entertainment","truthJudge","listened to live music","female",NA,"Linda","listens to live music",3,"month",1901,"agree-key",180,5.19295685089021
0,"entertainment","truthJudge","went to the movies","male",NA,"Lee","goes to the movies",3,"year",2856,"agree-key",15,2.70805020110221
0,"employment","truthJudge","wrote a novel","male",NA,"Christopher","writes novels",3,"year",2102,"agree-key",15,2.70805020110221
0,"food","truthJudge","ate peanut butter","male",NA,"David","eats peanut butter",3,"month",1542,"agree-key",180,5.19295685089021
0,"employment","truthJudge","wrote a poem","male",NA,"Fred","writes poems",3,"year",2724,"agree-key",15,2.70805020110221
0,"clothing","truthJudge","wore a watch","male",NA,"Cameron","wears a watch",3,"month",1593,"agree-key",180,5.19295685089021
0,"food","truthJudge","smoked marijuana","female",NA,"Elisa","smokes marijuana",3,"week",1874,"agree-key",780,6.65929391968364
0,"clothing","truthJudge","wore a suit","male",NA,"Lucas","wears a suit",3,"6 months",1252,"agree-key",30,3.40119738166216
1,"employment","truthJudge","volunteered for a political campaign","male",NA,"Jack","volunteers for political campaigns",3,"5 years",7337,"agree-key",3,1.09861228866811
1,"entertainment","truthJudge","watched professional football","female",NA,"Julia","watches professional football",3,"2 years",6261,"disagree-key",7.5,2.01490302054226
1,"food","truthJudge","smoked cigarettes","male",NA,"Scott","smokes cigarettes",3,"month",3349,"agree-key",180,5.19295685089021
1,"hobby","truthJudge","ran","male",NA,"Stephen","runs",3,"2 months",4038,"disagree-key",90,4.49980967033027
1,"employment","truthJudge","sold something on eBay","female",NA,"Elisa","sells things on eBay",3,"year",2971,"agree-key",15,2.70805020110221
1,"hobby","truthJudge","climbed mountains","male",NA,"Martin","climbs mountains",3,"year",3591,"agree-key",15,2.70805020110221
1,"employment","truthJudge","stole a car","female",NA,"Jennifer","steals cars",3,"month",2558,"agree-key",180,5.19295685089021
1,"food","truthJudge","drank beer","male",NA,"Lewis","drinks beer",3,"year",4902,"agree-key",15,2.70805020110221
1,"clothing","truthJudge","wore a suit","female",NA,"Angela","wears a suit",3,"6 months",5733,"disagree-key",30,3.40119738166216
1,"food","truthJudge","drank beer","female",NA,"Natalie","drinks beer",3,"month",2767,"agree-key",180,5.19295685089021
1,"clothing","truthJudge","wore a bra","female",NA,"Janet","wears a bra",3,"month",3998,"disagree-key",180,5.19295685089021
1,"entertainment","truthJudge","listened to live music","female",NA,"Kristina","listens to live music",3,"month",5957,"agree-key",180,5.19295685089021
1,"employment","truthJudge","wrote a poem","male",NA,"Ted","writes poems",3,"5 years",28568,"agree-key",3,1.09861228866811
1,"entertainment","truthJudge","watched space launches","female",NA,"Kathleen","watches space launches",3,"year",7230,"agree-key",15,2.70805020110221
1,"food","truthJudge","ate peanut butter","male",NA,"William","eats peanut butter",3,"5 years",5982,"disagree-key",3,1.09861228866811
1,"clothing","truthJudge","wore a bra","male",NA,"Tom","wears a bra",3,"month",3798,"agree-key",180,5.19295685089021
1,"entertainment","truthJudge","went to the ballet","female",NA,"Jessica","goes to the ballet",3,"year",3429,"agree-key",15,2.70805020110221
1,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Michael","volunteers for soup kitchens",3,"year",3134,"agree-key",15,2.70805020110221
1,"food","truthJudge","drank coffee","female",NA,"Sophia","drinks coffee",3,"week",2702,"agree-key",780,6.65929391968364
1,"hobby","truthJudge","hiked","female",NA,"Rebecca","hikes",3,"2 years",2927,"disagree-key",7.5,2.01490302054226
1,"clothing","truthJudge","wore slacks","male",NA,"Lee","wears slacks",3,"6 months",27712,"disagree-key",30,3.40119738166216
1,"clothing","truthJudge","wore socks","male",NA,"Lucas","wears socks",3,"month",2614,"disagree-key",180,5.19295685089021
1,"food","truthJudge","ate caviar","female",NA,"Kelly","eats caviar",3,"year",2198,"agree-key",15,2.70805020110221
1,"entertainment","truthJudge","went to the movies","male",NA,"George","goes to the movies",3,"month",3615,"agree-key",180,5.19295685089021
1,"employment","truthJudge","wrote a novel","male",NA,"Brian","writes novels",3,"year",3086,"agree-key",15,2.70805020110221
1,"entertainment","truthJudge","listened to Pandora","male",NA,"Vince","listens to Pandora",3,"week",3157,"agree-key",780,6.65929391968364
1,"employment","truthJudge","sold a company","male",NA,"Jacob","sells companies",3,"5 years",2830,"agree-key",3,1.09861228866811
1,"hobby","truthJudge","played the banjo","male",NA,"Fred","plays the banjo",3,"2 years",3517,"agree-key",7.5,2.01490302054226
1,"food","truthJudge","did cocaine","female",NA,"Stephanie","does cocaine",3,"month",3222,"agree-key",180,5.19295685089021
1,"clothing","truthJudge","wore socks","female",NA,"Brooke","wears socks",3,"week",6333,"agree-key",780,6.65929391968364
1,"food","truthJudge","did cocaine","male",NA,"Alexander","does cocaine",3,"month",1942,"agree-key",180,5.19295685089021
1,"food","truthJudge","drank coffee","male",NA,"David","drinks coffee",3,"year",2233,"disagree-key",15,2.70805020110221
1,"employment","truthJudge","stole chewing gum","female",NA,"Shannon","steals chewing gum",3,"month",4109,"agree-key",180,5.19295685089021
1,"food","truthJudge","smoked marijuana","female",NA,"Crystal","smokes marijuana",3,"month",2478,"agree-key",180,5.19295685089021
1,"clothing","truthJudge","wore a watch","female",NA,"Maya","wears a watch",3,"week",2750,"agree-key",780,6.65929391968364
1,"hobby","truthJudge","played tennis","female",NA,"Michelle","plays tennis",3,"year",4541,"disagree-key",15,2.70805020110221
1,"clothing","truthJudge","wore a suit","male",NA,"Kyle","wears a suit",3,"week",3319,"agree-key",780,6.65929391968364
2,"entertainment","truthJudge","listened to Pandora","male",NA,"Seth","listens to Pandora",3,"year",13415,"disagree-key",15,2.70805020110221
2,"entertainment","truthJudge","went to the ballet","female",NA,"Claire","goes to the ballet",3,"2 years",5183,"disagree-key",7.5,2.01490302054226
2,"clothing","truthJudge","wore slacks","female",NA,"Rebecca","wears slacks",3,"6 months",5173,"disagree-key",30,3.40119738166216
2,"food","truthJudge","smoked cigarettes","male",NA,"Ben","smokes cigarettes",3,"month",5348,"disagree-key",180,5.19295685089021
2,"food","truthJudge","ate peanut butter","male",NA,"Jack","eats peanut butter",3,"month",10112,"agree-key",180,5.19295685089021
2,"clothing","truthJudge","wore a bra","male",NA,"Stephen","wears a bra",3,"6 months",3487,"disagree-key",30,3.40119738166216
2,"clothing","truthJudge","wore a suit","male",NA,"George","wears a suit",3,"month",6129,"agree-key",180,5.19295685089021
2,"food","truthJudge","did cocaine","male",NA,"Christopher","does cocaine",3,"month",4241,"agree-key",180,5.19295685089021
2,"hobby","truthJudge","hiked","female",NA,"Jennifer","hikes",3,"week",4089,"agree-key",780,6.65929391968364
2,"food","truthJudge","drank coffee","male",NA,"Gabriel","drinks coffee",3,"2 weeks",4057,"agree-key",390,5.96614673912369
2,"hobby","truthJudge","played the banjo","female",NA,"Maya","plays the banjo",3,"2 years",5277,"disagree-key",7.5,2.01490302054226
2,"employment","truthJudge","wrote a novel","male",NA,"Lucas","writes novels",3,"5 years",6637,"agree-key",3,1.09861228866811
2,"clothing","truthJudge","wore socks","male",NA,"Josh","wears socks",3,"month",3263,"disagree-key",180,5.19295685089021
2,"food","truthJudge","drank beer","male",NA,"Brian","drinks beer",3,"year",2466,"disagree-key",15,2.70805020110221
2,"employment","truthJudge","sold a company","male",NA,"Ted","sells companies",3,"year",3722,"agree-key",15,2.70805020110221
2,"employment","truthJudge","sold something on eBay","male",NA,"Tom","sells things on eBay",3,"5 years",3524,"disagree-key",3,1.09861228866811
2,"food","truthJudge","did cocaine","female",NA,"Hillary","does cocaine",3,"year",4385,"disagree-key",15,2.70805020110221
2,"entertainment","truthJudge","listened to live music","female",NA,"Tina","listens to live music",3,"year",5600,"agree-key",15,2.70805020110221
2,"food","truthJudge","drank coffee","female",NA,"Brooke","drinks coffee",3,"week",3957,"agree-key",780,6.65929391968364
2,"employment","truthJudge","stole chewing gum","male",NA,"Vince","steals chewing gum",3,"year",3418,"disagree-key",15,2.70805020110221
2,"clothing","truthJudge","wore a watch","male",NA,"Fred","wears a watch",3,"6 months",2877,"disagree-key",30,3.40119738166216
2,"employment","truthJudge","wrote a poem","male",NA,"Martin","writes poems",3,"5 years",4219,"disagree-key",3,1.09861228866811
2,"hobby","truthJudge","climbed mountains","male",NA,"Cameron","climbs mountains",3,"year",3149,"agree-key",15,2.70805020110221
2,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Nicole","volunteers for soup kitchens",3,"5 years",3375,"disagree-key",3,1.09861228866811
2,"entertainment","truthJudge","watched professional football","male",NA,"Lewis","watches professional football",3,"year",3422,"disagree-key",15,2.70805020110221
2,"food","truthJudge","drank beer","female",NA,"Michelle","drinks beer",3,"year",2564,"disagree-key",15,2.70805020110221
2,"food","truthJudge","ate caviar","male",NA,"Stephen","eats caviar",3,"month",5741,"agree-key",180,5.19295685089021
2,"clothing","truthJudge","wore socks","female",NA,"Kim","wears socks",3,"week",3120,"agree-key",780,6.65929391968364
2,"hobby","truthJudge","played tennis","male",NA,"Daniel","plays tennis",3,"5 years",2722,"disagree-key",3,1.09861228866811
2,"entertainment","truthJudge","watched space launches","female",NA,"Ashley","watches space launches",3,"month",3860,"agree-key",180,5.19295685089021
2,"employment","truthJudge","stole a car","male",NA,"Anthony","steals cars",3,"year",5251,"agree-key",15,2.70805020110221
2,"clothing","truthJudge","wore a suit","female",NA,"Kristina","wears a suit",3,"month",7643,"agree-key",180,5.19295685089021
2,"entertainment","truthJudge","went to the movies","female",NA,"Natalie","goes to the movies",3,"2 years",2752,"disagree-key",7.5,2.01490302054226
2,"hobby","truthJudge","ran","female",NA,"Esther","runs",3,"year",2290,"disagree-key",15,2.70805020110221
2,"clothing","truthJudge","wore a bra","female",NA,"Janet","wears a bra",3,"week",4830,"agree-key",780,6.65929391968364
2,"employment","truthJudge","volunteered for a political campaign","female",NA,"Melinda","volunteers for political campaigns",3,"5 years",5612,"agree-key",3,1.09861228866811
2,"food","truthJudge","smoked marijuana","female",NA,"Elizabeth","smokes marijuana",3,"year",2865,"disagree-key",15,2.70805020110221
3,"employment","truthJudge","sold something on eBay","female",NA,"Nicole","sells things on eBay",3,"5 years",6403,"agree-key",3,1.09861228866811
3,"employment","truthJudge","stole chewing gum","male",NA,"Lucas","steals chewing gum",3,"5 years",3633,"agree-key",3,1.09861228866811
3,"hobby","truthJudge","played tennis","male",NA,"Martin","plays tennis",3,"year",2640,"disagree-key",15,2.70805020110221
3,"food","truthJudge","did cocaine","male",NA,"Lewis","does cocaine",3,"week",2689,"disagree-key",780,6.65929391968364
3,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Ben","volunteers for soup kitchens",3,"year",2706,"agree-key",15,2.70805020110221
3,"entertainment","truthJudge","listened to live music","male",NA,"Stephen","listens to live music",3,"week",2449,"agree-key",780,6.65929391968364
3,"food","truthJudge","smoked cigarettes","female",NA,"Kathleen","smokes cigarettes",3,"month",2409,"disagree-key",180,5.19295685089021
3,"clothing","truthJudge","wore a bra","male",NA,"Michael","wears a bra",3,"week",3638,"agree-key",780,6.65929391968364
3,"entertainment","truthJudge","listened to Pandora","male",NA,"Derrick","listens to Pandora",3,"year",2269,"agree-key",15,2.70805020110221
3,"hobby","truthJudge","climbed mountains","male",NA,"Robert","climbs mountains",3,"2 years",4168,"agree-key",7.5,2.01490302054226
3,"clothing","truthJudge","wore a suit","female",NA,"Angela","wears a suit",3,"6 months",2443,"agree-key",30,3.40119738166216
3,"food","truthJudge","drank coffee","male",NA,"Vince","drinks coffee",3,"2 weeks",2457,"agree-key",390,5.96614673912369
3,"entertainment","truthJudge","watched space launches","male",NA,"Josh","watches space launches",3,"year",4135,"agree-key",15,2.70805020110221
3,"clothing","truthJudge","wore a bra","female",NA,"Ashley","wears a bra",3,"month",2023,"agree-key",180,5.19295685089021
3,"employment","truthJudge","wrote a novel","female",NA,"Brooke","writes novels",3,"year",1745,"agree-key",15,2.70805020110221
3,"clothing","truthJudge","wore a watch","male",NA,"Seth","wears a watch",3,"week",2756,"agree-key",780,6.65929391968364
3,"food","truthJudge","ate caviar","female",NA,"Sophia","eats caviar",3,"month",3722,"agree-key",180,5.19295685089021
3,"food","truthJudge","did cocaine","female",NA,"Elisa","does cocaine",3,"month",1509,"agree-key",180,5.19295685089021
3,"food","truthJudge","drank beer","female",NA,"Alicia","drinks beer",3,"month",1360,"agree-key",180,5.19295685089021
3,"food","truthJudge","drank coffee","female",NA,"Amber","drinks coffee",3,"year",1435,"disagree-key",15,2.70805020110221
3,"employment","truthJudge","sold a company","female",NA,"Kristina","sells companies",3,"year",3202,"agree-key",15,2.70805020110221
3,"hobby","truthJudge","ran","female",NA,"Jackie","runs",3,"year",2435,"disagree-key",15,2.70805020110221
3,"clothing","truthJudge","wore slacks","female",NA,"Maya","wears slacks",3,"week",1786,"agree-key",780,6.65929391968364
3,"hobby","truthJudge","hiked","female",NA,"Julia","hikes",3,"2 months",1536,"agree-key",90,4.49980967033027
3,"entertainment","truthJudge","went to the ballet","male",NA,"Scott","goes to the ballet",3,"month",2332,"agree-key",180,5.19295685089021
3,"employment","truthJudge","wrote a poem","male",NA,"Anthony","writes poems",3,"5 years",1891,"disagree-key",3,1.09861228866811
3,"entertainment","truthJudge","went to the movies","male",NA,"Jack","goes to the movies",3,"2 years",2190,"agree-key",7.5,2.01490302054226
3,"food","truthJudge","drank beer","male",NA,"Fred","drinks beer",3,"month",1797,"agree-key",180,5.19295685089021
3,"clothing","truthJudge","wore a suit","male",NA,"John","wears a suit",3,"week",1625,"agree-key",780,6.65929391968364
3,"clothing","truthJudge","wore socks","male",NA,"Stephen","wears socks",3,"month",2569,"agree-key",180,5.19295685089021
3,"employment","truthJudge","stole a car","female",NA,"Claire","steals cars",3,"5 years",1682,"disagree-key",3,1.09861228866811
3,"clothing","truthJudge","wore socks","female",NA,"Kim","wears socks",3,"week",1355,"agree-key",780,6.65929391968364
3,"employment","truthJudge","volunteered for a political campaign","female",NA,"Veronica","volunteers for political campaigns",3,"5 years",2142,"agree-key",3,1.09861228866811
3,"food","truthJudge","ate peanut butter","female",NA,"Esther","eats peanut butter",3,"month",1738,"agree-key",180,5.19295685089021
3,"entertainment","truthJudge","watched professional football","male",NA,"Greg","watches professional football",3,"2 years",1791,"disagree-key",7.5,2.01490302054226
3,"food","truthJudge","smoked marijuana","female",NA,"Elizabeth","smokes marijuana",3,"5 years",1841,"disagree-key",3,1.09861228866811
3,"hobby","truthJudge","played the banjo","female",NA,"Hillary","plays the banjo",3,"2 years",1577,"disagree-key",7.5,2.01490302054226
4,"entertainment","truthJudge","watched professional football","male",NA,"Scott","watches professional football",3,"month",4487,"agree-key",180,5.19295685089021
4,"hobby","truthJudge","hiked","female",NA,"Esther","hikes",3,"2 years",3700,"agree-key",7.5,2.01490302054226
4,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Jennifer","volunteers for soup kitchens",3,"5 years",3793,"agree-key",3,1.09861228866811
4,"food","truthJudge","did cocaine","male",NA,"Vince","does cocaine",3,"week",2812,"agree-key",780,6.65929391968364
4,"clothing","truthJudge","wore a bra","female",NA,"Janet","wears a bra",3,"week",3615,"agree-key",780,6.65929391968364
4,"clothing","truthJudge","wore a bra","male",NA,"Tim","wears a bra",3,"month",4835,"disagree-key",180,5.19295685089021
4,"food","truthJudge","drank coffee","male",NA,"Tom","drinks coffee",3,"month",3251,"agree-key",180,5.19295685089021
4,"employment","truthJudge","wrote a novel","male",NA,"Fred","writes novels",3,"year",4263,"agree-key",15,2.70805020110221
4,"clothing","truthJudge","wore slacks","female",NA,"Shannon","wears slacks",3,"6 months",2558,"agree-key",30,3.40119738166216
4,"clothing","truthJudge","wore socks","male",NA,"Cameron","wears socks",3,"month",2063,"agree-key",180,5.19295685089021
4,"clothing","truthJudge","wore a suit","female",NA,"Ashley","wears a suit",3,"6 months",3487,"disagree-key",30,3.40119738166216
4,"hobby","truthJudge","played tennis","female",NA,"Laura","plays tennis",3,"2 years",2797,"agree-key",7.5,2.01490302054226
4,"food","truthJudge","ate caviar","female",NA,"Maya","eats caviar",3,"month",3838,"agree-key",180,5.19295685089021
4,"food","truthJudge","did cocaine","female",NA,"Crystal","does cocaine",3,"week",2208,"agree-key",780,6.65929391968364
4,"hobby","truthJudge","ran","male",NA,"Ronald","runs",3,"year",2268,"agree-key",15,2.70805020110221
4,"entertainment","truthJudge","watched space launches","female",NA,"Stephanie","watches space launches",3,"year",4396,"agree-key",15,2.70805020110221
4,"employment","truthJudge","wrote a poem","female",NA,"Theresa","writes poems",3,"5 years",3734,"agree-key",3,1.09861228866811
4,"employment","truthJudge","sold a company","male",NA,"Stephen","sells companies",3,"year",3944,"agree-key",15,2.70805020110221
4,"employment","truthJudge","sold something on eBay","male",NA,"Anthony","sells things on eBay",3,"5 years",4833,"disagree-key",3,1.09861228866811
4,"entertainment","truthJudge","listened to live music","male",NA,"Lee","listens to live music",3,"year",3772,"agree-key",15,2.70805020110221
4,"hobby","truthJudge","played the banjo","male",NA,"Christopher","plays the banjo",3,"5 years",2527,"agree-key",3,1.09861228866811
4,"employment","truthJudge","stole a car","female",NA,"Jackie","steals cars",3,"year",2495,"agree-key",15,2.70805020110221
4,"entertainment","truthJudge","went to the movies","male",NA,"Ben","goes to the movies",3,"2 years",3723,"agree-key",7.5,2.01490302054226
4,"food","truthJudge","drank beer","female",NA,"Jessica","drinks beer",3,"month",1771,"agree-key",180,5.19295685089021
4,"clothing","truthJudge","wore a watch","male",NA,"Gabriel","wears a watch",3,"week",4167,"agree-key",780,6.65929391968364
4,"food","truthJudge","drank coffee","female",NA,"Monica","drinks coffee",3,"month",4119,"agree-key",180,5.19295685089021
4,"employment","truthJudge","stole chewing gum","male",NA,"David","steals chewing gum",3,"month",2658,"agree-key",180,5.19295685089021
4,"food","truthJudge","smoked marijuana","female",NA,"Sophia","smokes marijuana",3,"week",3282,"agree-key",780,6.65929391968364
4,"food","truthJudge","smoked cigarettes","male",NA,"Eric","smokes cigarettes",3,"week",1740,"agree-key",780,6.65929391968364
4,"food","truthJudge","drank beer","male",NA,"Lucas","drinks beer",3,"week",2638,"agree-key",780,6.65929391968364
4,"employment","truthJudge","volunteered for a political campaign","male",NA,"Martin","volunteers for political campaigns",3,"year",8085,"agree-key",15,2.70805020110221
4,"entertainment","truthJudge","listened to Pandora","female",NA,"Natalie","listens to Pandora",3,"month",4657,"agree-key",180,5.19295685089021
4,"clothing","truthJudge","wore socks","female",NA,"Tina","wears socks",3,"month",1738,"agree-key",180,5.19295685089021
4,"food","truthJudge","ate peanut butter","female",NA,"Elizabeth","eats peanut butter",3,"year",2836,"agree-key",15,2.70805020110221
4,"clothing","truthJudge","wore a suit","male",NA,"George","wears a suit",3,"month",1584,"agree-key",180,5.19295685089021
4,"hobby","truthJudge","climbed mountains","male",NA,"Daniel","climbs mountains",3,"year",1814,"agree-key",15,2.70805020110221
4,"entertainment","truthJudge","went to the ballet","male",NA,"Greg","goes to the ballet",3,"2 years",2320,"agree-key",7.5,2.01490302054226
5,"employment","truthJudge","volunteered for a political campaign","male",NA,"Ronald","volunteers for political campaigns",3,"year",5391,"agree-key",15,2.70805020110221
5,"clothing","truthJudge","wore a suit","female",NA,"Melinda","wears a suit",3,"week",2457,"agree-key",780,6.65929391968364
5,"entertainment","truthJudge","watched space launches","female",NA,"Nicole","watches space launches",3,"month",4607,"agree-key",180,5.19295685089021
5,"hobby","truthJudge","hiked","male",NA,"William","hikes",3,"year",1764,"agree-key",15,2.70805020110221
5,"food","truthJudge","smoked marijuana","male",NA,"Lee","smokes marijuana",3,"month",3530,"disagree-key",180,5.19295685089021
5,"employment","truthJudge","stole a car","male",NA,"Jacob","steals cars",3,"month",20262,"agree-key",180,5.19295685089021
5,"food","truthJudge","drank beer","male",NA,"Greg","drinks beer",3,"month",4377,"disagree-key",180,5.19295685089021
5,"entertainment","truthJudge","watched professional football","male",NA,"Doug","watches professional football",3,"year",3553,"disagree-key",15,2.70805020110221
5,"clothing","truthJudge","wore a suit","male",NA,"Lucas","wears a suit",3,"month",1764,"agree-key",180,5.19295685089021
5,"food","truthJudge","drank beer","female",NA,"Sophia","drinks beer",3,"week",1828,"disagree-key",780,6.65929391968364
5,"employment","truthJudge","wrote a novel","male",NA,"Josh","writes novels",3,"5 years",1955,"agree-key",3,1.09861228866811
5,"clothing","truthJudge","wore a bra","male",NA,"Michael","wears a bra",3,"6 months",3274,"disagree-key",30,3.40119738166216
5,"food","truthJudge","did cocaine","male",NA,"John","does cocaine",3,"5 years",2697,"disagree-key",3,1.09861228866811
5,"clothing","truthJudge","wore socks","female",NA,"Ashley","wears socks",3,"month",2699,"disagree-key",180,5.19295685089021
5,"entertainment","truthJudge","went to the movies","male",NA,"Stephen","goes to the movies",3,"month",4088,"agree-key",180,5.19295685089021
5,"food","truthJudge","did cocaine","female",NA,"Brooke","does cocaine",3,"month",3115,"agree-key",180,5.19295685089021
5,"clothing","truthJudge","wore slacks","female",NA,"Linda","wears slacks",3,"6 months",3932,"disagree-key",30,3.40119738166216
5,"entertainment","truthJudge","went to the ballet","female",NA,"Kathleen","goes to the ballet",3,"year",2803,"disagree-key",15,2.70805020110221
5,"employment","truthJudge","wrote a poem","female",NA,"Theresa","writes poems",3,"5 years",4423,"disagree-key",3,1.09861228866811
5,"food","truthJudge","ate caviar","female",NA,"Esther","eats caviar",3,"5 years",2459,"disagree-key",3,1.09861228866811
5,"hobby","truthJudge","ran","female",NA,"Tina","runs",3,"week",6215,"agree-key",780,6.65929391968364
5,"employment","truthJudge","sold something on eBay","female",NA,"Janet","sells things on eBay",3,"5 years",3130,"disagree-key",3,1.09861228866811
5,"hobby","truthJudge","played tennis","female",NA,"Kristina","plays tennis",3,"2 years",15707,"agree-key",7.5,2.01490302054226
5,"entertainment","truthJudge","listened to Pandora","male",NA,"Stephen","listens to Pandora",3,"year",3075,"disagree-key",15,2.70805020110221
5,"food","truthJudge","ate peanut butter","male",NA,"Scott","eats peanut butter",3,"5 years",1755,"disagree-key",3,1.09861228866811
5,"food","truthJudge","drank coffee","male",NA,"Fred","drinks coffee",3,"2 weeks",3929,"agree-key",390,5.96614673912369
5,"clothing","truthJudge","wore a watch","male",NA,"Ted","wears a watch",3,"week",2291,"agree-key",780,6.65929391968364
5,"hobby","truthJudge","climbed mountains","female",NA,"Angela","climbs mountains",3,"year",2635,"agree-key",15,2.70805020110221
5,"employment","truthJudge","sold a company","male",NA,"Gabriel","sells companies",3,"year",3601,"agree-key",15,2.70805020110221
5,"employment","truthJudge","stole chewing gum","female",NA,"Kim","steals chewing gum",3,"month",3345,"agree-key",180,5.19295685089021
5,"employment","truthJudge","volunteered for a soup kitchen","male",NA,"Jack","volunteers for soup kitchens",3,"year",3218,"agree-key",15,2.70805020110221
5,"clothing","truthJudge","wore socks","male",NA,"Kyle","wears socks",3,"week",3618,"agree-key",780,6.65929391968364
5,"food","truthJudge","smoked cigarettes","female",NA,"Jackie","smokes cigarettes",3,"week",5223,"agree-key",780,6.65929391968364
5,"food","truthJudge","drank coffee","female",NA,"Monica","drinks coffee",3,"2 weeks",3362,"agree-key",390,5.96614673912369
5,"clothing","truthJudge","wore a bra","female",NA,"Shannon","wears a bra",3,"week",3002,"agree-key",780,6.65929391968364
5,"entertainment","truthJudge","listened to live music","female",NA,"Jennifer","listens to live music",3,"week",2811,"agree-key",780,6.65929391968364
5,"hobby","truthJudge","played the banjo","male",NA,"Martin","plays the banjo",3,"2 years",5048,"disagree-key",7.5,2.01490302054226
6,"clothing","truthJudge","wore socks","male",NA,"Jack","wears socks",3,"week",3501,"agree-key",780,6.65929391968364
6,"entertainment","truthJudge","listened to live music","male",NA,"Gabriel","listens to live music",3,"month",2805,"agree-key",180,5.19295685089021
6,"employment","truthJudge","stole chewing gum","female",NA,"Rebecca","steals chewing gum",3,"5 years",2574,"agree-key",3,1.09861228866811
6,"employment","truthJudge","stole a car","male",NA,"Scott","steals cars",3,"5 years",2037,"agree-key",3,1.09861228866811
6,"clothing","truthJudge","wore a suit","female",NA,"Veronica","wears a suit",3,"6 months",1622,"agree-key",30,3.40119738166216
