"workerid","category","trial_type","evidenceStatement","characterGender","freqLevel","characterName","habitual","n_instances","time_period","rt","response","n_times","log_times"
0,"clothing","truthJudge","wore a bra","male",NA,"Jacob","wears a bra",3,"6 months",4782,"agree-key",30,3.40119738166216
0,"entertainment","truthJudge","watched space launches","male",NA,"Lewis","watches space launches",3,"month",2034,"agree-key",180,5.19295685089021
0,"food","truthJudge","ate caviar","male",NA,"Ben","eats caviar",3,"year",4103,"agree-key",15,2.70805020110221
0,"clothing","truthJudge","wore a suit","female",NA,"Ashley","wears a suit",3,"week",2541,"agree-key",780,6.65929391968364
0,"entertainment","truthJudge","went to the ballet","female",NA,"Theresa","goes to the ballet",3,"year",2348,"agree-key",15,2.70805020110221
0,"food","truthJudge","smoked cigarettes","female",NA,"Claire","smokes cigarettes",3,"year",1732,"agree-key",15,2.70805020110221
0,"employment","truthJudge","sold something on eBay","male",NA,"Martin","sells things on eBay",3,"year",2373,"agree-key",15,2.70805020110221
0,"employment","truthJudge","volunteered for a soup kitchen","female",NA,"Brooke","volunteers for soup kitchens",3,"year",2350,"agree-key",15,2.70805020110221
0,"clothing","truthJudge","wore socks","female",NA,"Shannon","wears socks",3,"week",1916,"agree-key",780,6.65929391968364
0,"hobby","truthJudge","played the banjo","female",NA,"Melinda","plays the banjo",3,"2 years",1717,"agree-key",7.5,2.01490302054226
0,"hobby","truthJudge","played tennis","female",NA,"Janet","plays tennis",3,"5 years",2950,"disagree-key",3,1.09861228866811
0,"clothing","truthJudge","wore slacks","male",NA,"Stephen","wears slacks",3,"month",1571,"agree-key",180,5.19295685089021
0,"food","truthJudge","drank coffee","female",NA,"Natalie","drinks coffee",3,"2 weeks",1444,"agree-key",390,5.96614673912369
0,"employment","truthJudge","stole a car","female",NA,"Elizabeth","steals cars",3,"5 years",1062,"disagree-key",3,1.09861228866811
0,"food","truthJudge","did cocaine","female",NA,"Nicole","does cocaine",3,"week",1413,"agree-key",780,6.65929391968364
0,"food","truthJudge","drank beer","male",NA,"Ronald","drinks beer",3,"week",1979,"agree-key",780,6.65929391968364
0,"clothing","truthJudge","wore socks","male",NA,"Gabriel","wears socks",3,"month",1681,"agree-key",180,5.19295685089021
0,"entertainment","truthJudge","listened to Pandora","female",NA,"Julia","listens to Pandora",3,"year",3791,"agree-key",15,2.70805020110221
0,"clothing","truthJudge","wore a bra","female",NA,"Amber","wears a bra",3,"6 months",1057,"agree-key",30,3.40119738166216
0,"employment","truthJudge","volunteered for a political campaign","female",NA,"Laura","volunteers for political campaigns",3,"year",3070,"agree-key",15,2.70805020110221
0,"employment","truthJudge","stole chewing gum","male",NA,"Josh","steals chewing gum",3,"5 years",2939,"agree-key",3,1.09861228866811
0,"food","truthJudge","did cocaine","male",NA,"Kyle","does cocaine",3,"5 years",2670,"agree-key",3,1.09861228866811
0,"entertainment","truthJudge","watched professional football","male",NA,"Greg","watches professional football",3,"year",2331,"agree-key",15,2.70805020110221
0,"hobby","truthJudge","climbed mountains","female",NA,"Kim","climbs mountains",3,"5 years",1712,"agree-key",3,1.09861228866811
0,"employment","truthJudge","sold a company","male",NA,"Michael","sells companies",3,"5 years",2829,"agree-key",3,1.09861228866811
0,"hobby","truthJudge","hiked","female",NA,"Maya","hikes",3,"2 months",1309,"agree-key",90,4.49980967033027
0,"food","truthJudge","drank coffee","male",NA,"John","drinks coffee",3,"month",1456,"agree-key",180,5.19295685089021
0,"food","truthJudge","drank beer","female",NA,"Sophia","drinks beer",3,"year",3010,"agree-key",15,2.70805020110221
