"workerid","rt","trial_type","story","trial_num","target","experimentResults","missing","n_data","condition","label","frequency","treatment","query","distribution","category","response","unit"
0,17788,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, 98, u'?', 100, 100, 99, 99, 97, 99]",4,10,"prior","M",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.57,"animals"
0,17788,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, 98, u'?', 100, 100, 99, 99, 97, 99]",4,10,"prior","N",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.49,"animals"
0,17788,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, 98, u'?', 100, 100, 99, 99, 97, 99]",4,10,"prior","P",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.45,"animals"
0,17788,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, 98, u'?', 100, 100, 99, 99, 97, 99]",4,10,"prior","Q",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.72,"animals"
0,17788,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, 98, u'?', 100, 100, 99, 99, 97, 99]",4,10,"prior","R",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.54,"animals"
1,53324,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, u'?', 100, 98, 100, 100, 98, 98, 100]",3,10,"prior","M",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.98,"animals"
1,53324,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, u'?', 100, 98, 100, 100, 98, 98, 100]",3,10,"prior","N",-99,"herb","make the animals sleepy","common_deterministic","kweps",1,"animals"
1,53324,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, u'?', 100, 98, 100, 100, 98, 98, 100]",3,10,"prior","P",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.99,"animals"
1,53324,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, u'?', 100, 98, 100, 100, 98, 98, 100]",3,10,"prior","Q",-99,"herb","make the animals sleepy","common_deterministic","kweps",1,"animals"
1,53324,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[100, 99, 100, u'?', 100, 98, 100, 100, 98, 98, 100]",3,10,"prior","R",-99,"herb","make the animals sleepy","common_deterministic","kweps",0.98,"animals"
