"workerid","rt","trial_type","story","trial_num","target","experimentResults","missing","n_data","condition","frequency","treatment","query","distribution","category","response","unit"
0,85719,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 20, 0, u'?', 10, 0, 0, 15, 0, 20, 0]",3,10,"prior",-99,"herb","make the animals sleepy","rare_weak","zoovs",0,"animals"
0,85719,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 20, 0, u'?', 10, 0, 0, 15, 0, 20, 0]",3,10,"prior",-99,"herb","make the animals sleepy","rare_weak","zoovs",0.13,"animals"
0,85719,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 20, 0, u'?', 10, 0, 0, 15, 0, 20, 0]",3,10,"prior",-99,"herb","make the animals sleepy","rare_weak","zoovs",0,"animals"
0,85719,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 20, 0, u'?', 10, 0, 0, 15, 0, 20, 0]",3,10,"prior",-99,"herb","make the animals sleepy","rare_weak","zoovs",0,"animals"
0,85719,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 20, 0, u'?', 10, 0, 0, 15, 0, 20, 0]",3,10,"prior",-99,"herb","make the animals sleepy","rare_weak","zoovs",0.14,"animals"
1,55059,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, u'?', 0, 0, 100, 0, 0, 100]",4,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","morseths",0,"rocks"
1,55059,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, u'?', 0, 0, 100, 0, 0, 100]",4,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","morseths",0,"rocks"
1,55059,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, u'?', 0, 0, 100, 0, 0, 100]",4,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","morseths",0.01,"rocks"
1,55059,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, u'?', 0, 0, 100, 0, 0, 100]",4,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","morseths",0.01,"rocks"
1,55059,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, u'?', 0, 0, 100, 0, 0, 100]",4,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","morseths",0.02,"rocks"
2,66176,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, 65, u'?', 75, 80, 90, 80, 75, 80, 90]",3,10,"prior",-99,"herb","make the animals sleepy","common_strong","pangolins",0.81,"animals"
2,66176,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, 65, u'?', 75, 80, 90, 80, 75, 80, 90]",3,10,"prior",-99,"herb","make the animals sleepy","common_strong","pangolins",0.69,"animals"
2,66176,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, 65, u'?', 75, 80, 90, 80, 75, 80, 90]",3,10,"prior",-99,"herb","make the animals sleepy","common_strong","pangolins",0.8,"animals"
2,66176,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, 65, u'?', 75, 80, 90, 80, 75, 80, 90]",3,10,"prior",-99,"herb","make the animals sleepy","common_strong","pangolins",0.62,"animals"
2,66176,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, 65, u'?', 75, 80, 90, 80, 75, 80, 90]",3,10,"prior",-99,"herb","make the animals sleepy","common_strong","pangolins",0.7,"animals"
3,178252,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, 65, u'?', 0, 80, 90, 0, 0, 80, 90]",3,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","trufts",0.73,"rocks"
3,178252,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, 65, u'?', 0, 80, 90, 0, 0, 80, 90]",3,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","trufts",0,"rocks"
3,178252,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, 65, u'?', 0, 80, 90, 0, 0, 80, 90]",3,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","trufts",0.59,"rocks"
3,178252,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, 65, u'?', 0, 80, 90, 0, 0, 80, 90]",3,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","trufts",0,"rocks"
3,178252,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, 65, u'?', 0, 80, 90, 0, 0, 80, 90]",3,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","trufts",0.81,"rocks"
4,146721,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, u'?', 65, 75, 80, 90, 80, 75, 80, 90]",2,10,"prior",-99,"herb","make the animals sleepy","common_strong","kazzes",0.71,"animals"
4,146721,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, u'?', 65, 75, 80, 90, 80, 75, 80, 90]",2,10,"prior",-99,"herb","make the animals sleepy","common_strong","kazzes",0.69,"animals"
4,146721,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, u'?', 65, 75, 80, 90, 80, 75, 80, 90]",2,10,"prior",-99,"herb","make the animals sleepy","common_strong","kazzes",0.75,"animals"
4,146721,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, u'?', 65, 75, 80, 90, 80, 75, 80, 90]",2,10,"prior",-99,"herb","make the animals sleepy","common_strong","kazzes",0.66,"animals"
4,146721,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[75, 65, u'?', 65, 75, 80, 90, 80, 75, 80, 90]",2,10,"prior",-99,"herb","make the animals sleepy","common_strong","kazzes",0.72,"animals"
5,187706,"causals","plant grow indoors",0,"makes CATEGORY grow tall","[0, 0, u'?', 100, 100, 0, 0, 100, 0, 0, 100]",2,10,"prior",-99,"fertilizer","make the plants grow tall","rare_deterministic","taifels",1,"plants"
5,187706,"causals","plant grow indoors",0,"makes CATEGORY grow tall","[0, 0, u'?', 100, 100, 0, 0, 100, 0, 0, 100]",2,10,"prior",-99,"fertilizer","make the plants grow tall","rare_deterministic","taifels",1,"plants"
5,187706,"causals","plant grow indoors",0,"makes CATEGORY grow tall","[0, 0, u'?', 100, 100, 0, 0, 100, 0, 0, 100]",2,10,"prior",-99,"fertilizer","make the plants grow tall","rare_deterministic","taifels",0.01,"plants"
5,187706,"causals","plant grow indoors",0,"makes CATEGORY grow tall","[0, 0, u'?', 100, 100, 0, 0, 100, 0, 0, 100]",2,10,"prior",-99,"fertilizer","make the plants grow tall","rare_deterministic","taifels",0.98,"plants"
5,187706,"causals","plant grow indoors",0,"makes CATEGORY grow tall","[0, 0, u'?', 100, 100, 0, 0, 100, 0, 0, 100]",2,10,"prior",-99,"fertilizer","make the plants grow tall","rare_deterministic","taifels",0.03,"plants"
6,111665,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[85, u'?', 75, 15, 75, 10, 90, 90, 80, 10, 20]",1,10,"prior",-99,"compound","make the rocks dissolve","weak_or_strong","mooks",0.76,"rocks"
6,111665,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[85, u'?', 75, 15, 75, 10, 90, 90, 80, 10, 20]",1,10,"prior",-99,"compound","make the rocks dissolve","weak_or_strong","mooks",0.75,"rocks"
6,111665,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[85, u'?', 75, 15, 75, 10, 90, 90, 80, 10, 20]",1,10,"prior",-99,"compound","make the rocks dissolve","weak_or_strong","mooks",0.6,"rocks"
6,111665,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[85, u'?', 75, 15, 75, 10, 90, 90, 80, 10, 20]",1,10,"prior",-99,"compound","make the rocks dissolve","weak_or_strong","mooks",0.76,"rocks"
6,111665,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[85, u'?', 75, 15, 75, 10, 90, 90, 80, 10, 20]",1,10,"prior",-99,"compound","make the rocks dissolve","weak_or_strong","mooks",0.77,"rocks"
7,65497,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, 0, 0, 100, u'?', 0, 0, 100]",7,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","grinks",0.98,"rocks"
7,65497,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, 0, 0, 100, u'?', 0, 0, 100]",7,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","grinks",0,"rocks"
7,65497,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, 0, 0, 100, u'?', 0, 0, 100]",7,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","grinks",0.01,"rocks"
7,65497,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, 0, 0, 100, u'?', 0, 0, 100]",7,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","grinks",0.99,"rocks"
7,65497,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[0, 0, 100, 100, 0, 0, 100, u'?', 0, 0, 100]",7,10,"prior",-99,"compound","make the rocks dissolve","rare_deterministic","grinks",0.01,"rocks"
8,150586,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 0, 100, 100, 0, u'?', 0, 100, 0, 0, 100]",5,10,"prior",-99,"herb","make the animals sleepy","rare_deterministic","grinks",0,"animals"
8,150586,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 0, 100, 100, 0, u'?', 0, 100, 0, 0, 100]",5,10,"prior",-99,"herb","make the animals sleepy","rare_deterministic","grinks",0,"animals"
8,150586,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 0, 100, 100, 0, u'?', 0, 100, 0, 0, 100]",5,10,"prior",-99,"herb","make the animals sleepy","rare_deterministic","grinks",1,"animals"
8,150586,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 0, 100, 100, 0, u'?', 0, 100, 0, 0, 100]",5,10,"prior",-99,"herb","make the animals sleepy","rare_deterministic","grinks",0,"animals"
8,150586,"causals","animal make sleepy",0,"makes CATEGORY sleepy","[0, 0, 100, 100, 0, u'?', 0, 100, 0, 0, 100]",5,10,"prior",-99,"herb","make the animals sleepy","rare_deterministic","grinks",0,"animals"
9,264288,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, u'?', 65, 0, 80, 90, 0, 0, 80, 90]",2,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","krivels",0.02,"rocks"
9,264288,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, u'?', 65, 0, 80, 90, 0, 0, 80, 90]",2,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","krivels",0.77,"rocks"
9,264288,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, u'?', 65, 0, 80, 90, 0, 0, 80, 90]",2,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","krivels",0.03,"rocks"
9,264288,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, u'?', 65, 0, 80, 90, 0, 0, 80, 90]",2,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","krivels",0.68,"rocks"
9,264288,"causals","rocks dissolve",0,"makes CATEGORY dissolve","[75, 0, u'?', 65, 0, 80, 90, 0, 0, 80, 90]",2,10,"prior",-99,"compound","make the rocks dissolve","rare_strong","krivels",0.05,"rocks"
