"workerid","rt","interval","trialNum","person","action","n_times"
0,40618,"year",1,"Nikki","plays tennis",0
0,40618,"year",1,"Jamie","plays tennis",3
0,40618,"year",1,"Don","plays tennis",0
0,40618,"year",1,"John","plays tennis",6
0,40618,"year",1,"Chris","plays tennis",0
0,40618,"year",1,"Dave","plays tennis",0
0,40618,"year",1,"Shawn","plays tennis",3
0,40618,"year",1,"Tim","plays tennis",8
0,18548,"year",2,"Nikki","volunteers for soup kitchens",1
0,18548,"year",2,"Jamie","volunteers for soup kitchens",1
0,18548,"year",2,"Don","volunteers for soup kitchens",0
0,18548,"year",2,"John","volunteers for soup kitchens",2
0,18548,"year",2,"Chris","volunteers for soup kitchens",1
0,18548,"year",2,"Dave","volunteers for soup kitchens",0
0,18548,"year",2,"Shawn","volunteers for soup kitchens",1
0,18548,"year",2,"Tim","volunteers for soup kitchens",2
0,19877,"5 years",3,"Nikki","writes novels",0
0,19877,"5 years",3,"Jamie","writes novels",0
0,19877,"5 years",3,"Don","writes novels",0
0,19877,"5 years",3,"John","writes novels",0
0,19877,"5 years",3,"Chris","writes novels",0
0,19877,"5 years",3,"Dave","writes novels",0
0,19877,"5 years",3,"Shawn","writes novels",0
0,19877,"5 years",3,"Tim","writes novels",0
0,21550,"year",4,"Nikki","eats caviar",2
0,21550,"year",4,"Jamie","eats caviar",2
0,21550,"year",4,"Don","eats caviar",0
0,21550,"year",4,"John","eats caviar",1
0,21550,"year",4,"Chris","eats caviar",0
0,21550,"year",4,"Dave","eats caviar",0
0,21550,"year",4,"Shawn","eats caviar",1
0,21550,"year",4,"Tim","eats caviar",5
0,16174,"week",5,"Nikki","wears a bra",7
0,16174,"week",5,"Jamie","wears a bra",0
0,16174,"week",5,"Don","wears a bra",0
0,16174,"week",5,"John","wears a bra",0
0,16174,"week",5,"Chris","wears a bra",0
0,16174,"week",5,"Dave","wears a bra",0
0,16174,"week",5,"Shawn","wears a bra",0
0,16174,"week",5,"Tim","wears a bra",0
0,23098,"year",6,"Nikki","hikes",3
0,23098,"year",6,"Jamie","hikes",5
0,23098,"year",6,"Don","hikes",1
0,23098,"year",6,"John","hikes",4
0,23098,"year",6,"Chris","hikes",1
0,23098,"year",6,"Dave","hikes",5
0,23098,"year",6,"Shawn","hikes",3
0,23098,"year",6,"Tim","hikes",8
0,14810,"year",7,"Nikki","climbs mountains",0
0,14810,"year",7,"Jamie","climbs mountains",0
0,14810,"year",7,"Don","climbs mountains",0
0,14810,"year",7,"John","climbs mountains",0
0,14810,"year",7,"Chris","climbs mountains",0
0,14810,"year",7,"Dave","climbs mountains",1
0,14810,"year",7,"Shawn","climbs mountains",1
0,14810,"year",7,"Tim","climbs mountains",1
0,19492,"week",8,"Nikki","drinks coffee",7
0,19492,"week",8,"Jamie","drinks coffee",7
0,19492,"week",8,"Don","drinks coffee",7
0,19492,"week",8,"John","drinks coffee",7
0,19492,"week",8,"Chris","drinks coffee",0
0,19492,"week",8,"Dave","drinks coffee",0
0,19492,"week",8,"Shawn","drinks coffee",7
0,19492,"week",8,"Tim","drinks coffee",7
0,12910,"year",9,"Nikki","plays the banjo",0
0,12910,"year",9,"Jamie","plays the banjo",0
0,12910,"year",9,"Don","plays the banjo",0
0,12910,"year",9,"John","plays the banjo",0
0,12910,"year",9,"Chris","plays the banjo",0
0,12910,"year",9,"Dave","plays the banjo",0
0,12910,"year",9,"Shawn","plays the banjo",0
0,12910,"year",9,"Tim","plays the banjo",12
0,13094,"year",10,"Nikki","writes poems",1
0,13094,"year",10,"Jamie","writes poems",1
0,13094,"year",10,"Don","writes poems",0
0,13094,"year",10,"John","writes poems",0
0,13094,"year",10,"Chris","writes poems",0
0,13094,"year",10,"Dave","writes poems",0
0,13094,"year",10,"Shawn","writes poems",0
0,13094,"year",10,"Tim","writes poems",0
0,13914,"year",11,"Nikki","goes to the ballet",1
0,13914,"year",11,"Jamie","goes to the ballet",0
0,13914,"year",11,"Don","goes to the ballet",0
0,13914,"year",11,"John","goes to the ballet",0
0,13914,"year",11,"Chris","goes to the ballet",0
0,13914,"year",11,"Dave","goes to the ballet",0
0,13914,"year",11,"Shawn","goes to the ballet",0
0,13914,"year",11,"Tim","goes to the ballet",1
0,26553,"week",12,"Nikki","listens to Pandora",6
0,26553,"week",12,"Jamie","listens to Pandora",7
0,26553,"week",12,"Don","listens to Pandora",0
0,26553,"week",12,"John","listens to Pandora",6
0,26553,"week",12,"Chris","listens to Pandora",6
0,26553,"week",12,"Dave","listens to Pandora",0
0,26553,"week",12,"Shawn","listens to Pandora",2
0,26553,"week",12,"Tim","listens to Pandora",3
0,23498,"year",13,"Nikki","listens to live music",3
0,23498,"year",13,"Jamie","listens to live music",3
0,23498,"year",13,"Don","listens to live music",0
0,23498,"year",13,"John","listens to live music",4
0,23498,"year",13,"Chris","listens to live music",3
0,23498,"year",13,"Dave","listens to live music",3
0,23498,"year",13,"Shawn","listens to live music",2
0,23498,"year",13,"Tim","listens to live music",10
0,16442,"week",14,"Nikki","wears a watch",0
0,16442,"week",14,"Jamie","wears a watch",7
0,16442,"week",14,"Don","wears a watch",7
0,16442,"week",14,"John","wears a watch",7
0,16442,"week",14,"Chris","wears a watch",7
0,16442,"week",14,"Dave","wears a watch",0
0,16442,"week",14,"Shawn","wears a watch",0
0,16442,"week",14,"Tim","wears a watch",7
0,12182,"5 years",15,"Nikki","sells companies",0
0,12182,"5 years",15,"Jamie","sells companies",0
0,12182,"5 years",15,"Don","sells companies",0
0,12182,"5 years",15,"John","sells companies",0
0,12182,"5 years",15,"Chris","sells companies",0
0,12182,"5 years",15,"Dave","sells companies",0
0,12182,"5 years",15,"Shawn","sells companies",0
0,12182,"5 years",15,"Tim","sells companies",0
1,21276,"week",1,"ed","writes novels",0
1,21276,"week",1,"mike","writes novels",0
1,21276,"week",1,"john","writes novels",0
1,21276,"week",1,"simon","writes novels",0
1,21276,"week",1,"karen","writes novels",0
1,21276,"week",1,"steve","writes novels",0
1,21276,"week",1,"willy","writes novels",0
1,21276,"week",1,"tom","writes novels",0
1,25109,"week",2,"ed","wears a suit",0
1,25109,"week",2,"mike","wears a suit",0
1,25109,"week",2,"john","wears a suit",0
1,25109,"week",2,"simon","wears a suit",0
1,25109,"week",2,"karen","wears a suit",0
1,25109,"week",2,"steve","wears a suit",0
1,25109,"week",2,"willy","wears a suit",0
1,25109,"week",2,"tom","wears a suit",0
1,10775,"week",3,"ed","writes poems",0
1,10775,"week",3,"mike","writes poems",0
1,10775,"week",3,"john","writes poems",0
1,10775,"week",3,"simon","writes poems",0
1,10775,"week",3,"karen","writes poems",0
1,10775,"week",3,"steve","writes poems",0
1,10775,"week",3,"willy","writes poems",0
1,10775,"week",3,"tom","writes poems",0
1,8842,"week",4,"ed","volunteers for soup kitchens",0
1,8842,"week",4,"mike","volunteers for soup kitchens",0
1,8842,"week",4,"john","volunteers for soup kitchens",0
1,8842,"week",4,"simon","volunteers for soup kitchens",0
1,8842,"week",4,"karen","volunteers for soup kitchens",0
1,8842,"week",4,"steve","volunteers for soup kitchens",0
1,8842,"week",4,"willy","volunteers for soup kitchens",0
1,8842,"week",4,"tom","volunteers for soup kitchens",0
1,8526,"week",5,"ed","sells companies",0
1,8526,"week",5,"mike","sells companies",0
1,8526,"week",5,"john","sells companies",0
1,8526,"week",5,"simon","sells companies",0
1,8526,"week",5,"karen","sells companies",0
1,8526,"week",5,"steve","sells companies",0
1,8526,"week",5,"willy","sells companies",0
1,8526,"week",5,"tom","sells companies",0
1,13899,"week",6,"ed","volunteers for political campaigns",0
1,13899,"week",6,"mike","volunteers for political campaigns",0
1,13899,"week",6,"john","volunteers for political campaigns",0
1,13899,"week",6,"simon","volunteers for political campaigns",0
1,13899,"week",6,"karen","volunteers for political campaigns",0
1,13899,"week",6,"steve","volunteers for political campaigns",0
1,13899,"week",6,"willy","volunteers for political campaigns",0
1,13899,"week",6,"tom","volunteers for political campaigns",0
1,23122,"week",7,"ed","wears slacks",1
1,23122,"week",7,"mike","wears slacks",0
1,23122,"week",7,"john","wears slacks",0
1,23122,"week",7,"simon","wears slacks",0
1,23122,"week",7,"karen","wears slacks",0
1,23122,"week",7,"steve","wears slacks",0
1,23122,"week",7,"willy","wears slacks",3
1,23122,"week",7,"tom","wears slacks",0
1,13216,"week",8,"ed","watches professional football",1
1,13216,"week",8,"mike","watches professional football",1
1,13216,"week",8,"john","watches professional football",1
1,13216,"week",8,"simon","watches professional football",1
1,13216,"week",8,"karen","watches professional football",0
1,13216,"week",8,"steve","watches professional football",1
1,13216,"week",8,"willy","watches professional football",1
1,13216,"week",8,"tom","watches professional football",1
1,9474,"week",9,"ed","hikes",0
1,9474,"week",9,"mike","hikes",0
1,9474,"week",9,"john","hikes",0
1,9474,"week",9,"simon","hikes",0
1,9474,"week",9,"karen","hikes",0
1,9474,"week",9,"steve","hikes",0
1,9474,"week",9,"willy","hikes",0
1,9474,"week",9,"tom","hikes",0
1,15513,"week",10,"ed","wears socks",7
1,15513,"week",10,"mike","wears socks",7
1,15513,"week",10,"john","wears socks",7
1,15513,"week",10,"simon","wears socks",7
1,15513,"week",10,"karen","wears socks",7
1,15513,"week",10,"steve","wears socks",7
1,15513,"week",10,"willy","wears socks",7
1,15513,"week",10,"tom","wears socks",7
1,8464,"week",11,"ed","listens to Pandora",0
1,8464,"week",11,"mike","listens to Pandora",0
1,8464,"week",11,"john","listens to Pandora",0
1,8464,"week",11,"simon","listens to Pandora",0
1,8464,"week",11,"karen","listens to Pandora",0
1,8464,"week",11,"steve","listens to Pandora",0
1,8464,"week",11,"willy","listens to Pandora",0
1,8464,"week",11,"tom","listens to Pandora",0
1,7563,"week",12,"ed","listens to live music",0
1,7563,"week",12,"mike","listens to live music",0
1,7563,"week",12,"john","listens to live music",0
1,7563,"week",12,"simon","listens to live music",0
1,7563,"week",12,"karen","listens to live music",0
1,7563,"week",12,"steve","listens to live music",0
1,7563,"week",12,"willy","listens to live music",0
1,7563,"week",12,"tom","listens to live music",0
1,8148,"week",13,"ed","smokes cigarettes",0
1,8148,"week",13,"mike","smokes cigarettes",0
1,8148,"week",13,"john","smokes cigarettes",0
1,8148,"week",13,"simon","smokes cigarettes",0
1,8148,"week",13,"karen","smokes cigarettes",0
1,8148,"week",13,"steve","smokes cigarettes",0
1,8148,"week",13,"willy","smokes cigarettes",0
1,8148,"week",13,"tom","smokes cigarettes",0
1,10854,"week",14,"ed","goes to the movies",1
1,10854,"week",14,"mike","goes to the movies",1
1,10854,"week",14,"john","goes to the movies",0
1,10854,"week",14,"simon","goes to the movies",0
1,10854,"week",14,"karen","goes to the movies",1
1,10854,"week",14,"steve","goes to the movies",0
1,10854,"week",14,"willy","goes to the movies",0
1,10854,"week",14,"tom","goes to the movies",0
1,8350,"week",15,"ed","sell things on eBay",0
1,8350,"week",15,"mike","sell things on eBay",0
1,8350,"week",15,"john","sell things on eBay",0
1,8350,"week",15,"simon","sell things on eBay",0
1,8350,"week",15,"karen","sell things on eBay",0
1,8350,"week",15,"steve","sell things on eBay",0
1,8350,"week",15,"willy","sell things on eBay",0
1,8350,"week",15,"tom","sell things on eBay",0
2,57429,"week",1,"Patti","eats peanut butter",1
2,57429,"week",1,"jeannie","eats peanut butter",1
2,57429,"week",1,"Lisa","eats peanut butter",3
2,57429,"week",1,"Dan","eats peanut butter",2
2,57429,"week",1,"Richard","eats peanut butter",0
2,57429,"week",1,"Cindy","eats peanut butter",1
2,57429,"week",1,"Gracia","eats peanut butter",2
2,57429,"week",1,"Norina","eats peanut butter",2
2,19668,"week",2,"Patti","volunteers for political campaigns",0
2,19668,"week",2,"jeannie","volunteers for political campaigns",0
2,19668,"week",2,"Lisa","volunteers for political campaigns",0
2,19668,"week",2,"Dan","volunteers for political campaigns",0
2,19668,"week",2,"Richard","volunteers for political campaigns",0
2,19668,"week",2,"Cindy","volunteers for political campaigns",0
2,19668,"week",2,"Gracia","volunteers for political campaigns",0
2,19668,"week",2,"Norina","volunteers for political campaigns",0
2,26454,"week",3,"Patti","sells companies",0
2,26454,"week",3,"jeannie","sells companies",0
2,26454,"week",3,"Lisa","sells companies",0
2,26454,"week",3,"Dan","sells companies",0
2,26454,"week",3,"Richard","sells companies",0
2,26454,"week",3,"Cindy","sells companies",0
2,26454,"week",3,"Gracia","sells companies",0
2,26454,"week",3,"Norina","sells companies",0
2,26454,"5 years",3,"hypothetical","sells companies",1
2,23505,"week",4,"Patti","wears a suit",0
2,23505,"week",4,"jeannie","wears a suit",0
2,23505,"week",4,"Lisa","wears a suit",0
2,23505,"week",4,"Dan","wears a suit",0
2,23505,"week",4,"Richard","wears a suit",5
2,23505,"week",4,"Cindy","wears a suit",0
2,23505,"week",4,"Gracia","wears a suit",0
2,23505,"week",4,"Norina","wears a suit",0
2,24196,"week",5,"Patti","plays tennis",0
2,24196,"week",5,"jeannie","plays tennis",0
2,24196,"week",5,"Lisa","plays tennis",0
2,24196,"week",5,"Dan","plays tennis",0
2,24196,"week",5,"Richard","plays tennis",0
2,24196,"week",5,"Cindy","plays tennis",0
2,24196,"week",5,"Gracia","plays tennis",0
2,24196,"week",5,"Norina","plays tennis",0
2,24196,"month",5,"hypothetical","plays tennis",1
2,13569,"5 years",6,"Patti","watches space launches",1
2,13569,"5 years",6,"jeannie","watches space launches",1
2,13569,"5 years",6,"Lisa","watches space launches",1
2,13569,"5 years",6,"Dan","watches space launches",1
2,13569,"5 years",6,"Richard","watches space launches",1
2,13569,"5 years",6,"Cindy","watches space launches",1
2,13569,"5 years",6,"Gracia","watches space launches",1
2,13569,"5 years",6,"Norina","watches space launches",1
2,22752,"year",7,"Patti","sell things on eBay",0
2,22752,"year",7,"jeannie","sell things on eBay",0
2,22752,"year",7,"Lisa","sell things on eBay",0
2,22752,"year",7,"Dan","sell things on eBay",0
2,22752,"year",7,"Richard","sell things on eBay",0
2,22752,"year",7,"Cindy","sell things on eBay",0
2,22752,"year",7,"Gracia","sell things on eBay",0
2,22752,"year",7,"Norina","sell things on eBay",0
2,23546,"week",8,"Patti","writes poems",0
2,23546,"week",8,"jeannie","writes poems",0
2,23546,"week",8,"Lisa","writes poems",0
2,23546,"week",8,"Dan","writes poems",0
2,23546,"week",8,"Richard","writes poems",0
2,23546,"week",8,"Cindy","writes poems",0
2,23546,"week",8,"Gracia","writes poems",0
2,23546,"week",8,"Norina","writes poems",0
2,23546,"5 years",8,"hypothetical","writes poems",1
2,26373,"week",9,"Patti","runs",3
2,26373,"week",9,"jeannie","runs",0
2,26373,"week",9,"Lisa","runs",0
2,26373,"week",9,"Dan","runs",0
