"workerid","rt","interval","trialNum","person","action","n_times"
2,26373,"week",9,"Richard","runs",0
2,26373,"week",9,"Cindy","runs",0
2,26373,"week",9,"Gracia","runs",0
2,26373,"week",9,"Norina","runs",5
2,27203,"week",10,"Patti","wears slacks",5
2,27203,"week",10,"jeannie","wears slacks",5
2,27203,"week",10,"Lisa","wears slacks",5
2,27203,"week",10,"Dan","wears slacks",5
2,27203,"week",10,"Richard","wears slacks",5
2,27203,"week",10,"Cindy","wears slacks",5
2,27203,"week",10,"Gracia","wears slacks",5
2,27203,"week",10,"Norina","wears slacks",5
2,11992,"week",11,"Patti","drinks coffee",7
2,11992,"week",11,"jeannie","drinks coffee",7
2,11992,"week",11,"Lisa","drinks coffee",7
2,11992,"week",11,"Dan","drinks coffee",7
2,11992,"week",11,"Richard","drinks coffee",7
2,11992,"week",11,"Cindy","drinks coffee",7
2,11992,"week",11,"Gracia","drinks coffee",7
2,11992,"week",11,"Norina","drinks coffee",0
2,14414,"week",12,"Patti","plays the banjo",0
2,14414,"week",12,"jeannie","plays the banjo",0
2,14414,"week",12,"Lisa","plays the banjo",0
2,14414,"week",12,"Dan","plays the banjo",0
2,14414,"week",12,"Richard","plays the banjo",0
2,14414,"week",12,"Cindy","plays the banjo",0
2,14414,"week",12,"Gracia","plays the banjo",0
2,14414,"week",12,"Norina","plays the banjo",0
2,14855,"week",13,"Patti","writes novels",0
2,14855,"week",13,"jeannie","writes novels",0
2,14855,"week",13,"Lisa","writes novels",0
2,14855,"week",13,"Dan","writes novels",0
2,14855,"week",13,"Richard","writes novels",0
2,14855,"week",13,"Cindy","writes novels",0
2,14855,"week",13,"Gracia","writes novels",0
2,14855,"week",13,"Norina","writes novels",0
2,15209,"week",14,"Patti","wears a bra",7
2,15209,"week",14,"jeannie","wears a bra",7
2,15209,"week",14,"Lisa","wears a bra",7
2,15209,"week",14,"Dan","wears a bra",0
2,15209,"week",14,"Richard","wears a bra",0
2,15209,"week",14,"Cindy","wears a bra",7
2,15209,"week",14,"Gracia","wears a bra",7
2,15209,"week",14,"Norina","wears a bra",7
2,22351,"week",15,"Patti","goes to the ballet",0
2,22351,"week",15,"jeannie","goes to the ballet",0
2,22351,"week",15,"Lisa","goes to the ballet",0
2,22351,"week",15,"Dan","goes to the ballet",0
2,22351,"week",15,"Richard","goes to the ballet",0
2,22351,"week",15,"Cindy","goes to the ballet",0
2,22351,"week",15,"Gracia","goes to the ballet",0
2,22351,"week",15,"Norina","goes to the ballet",0
2,22351,"5 years",15,"hypothetical","goes to the ballet",1
3,25816,"week",1,"andrew","drinks coffee",7
3,25816,"week",1,"stacy","drinks coffee",10
3,25816,"week",1,"ron","drinks coffee",14
3,25816,"week",1,"nancy","drinks coffee",14
3,25816,"week",1,"ashley","drinks coffee",7
3,25816,"week",1,"amanda","drinks coffee",0
3,25816,"week",1,"barbara","drinks coffee",7
3,25816,"week",1,"rick","drinks coffee",0
3,21498,"year",2,"andrew","volunteers for political campaigns",0
3,21498,"year",2,"stacy","volunteers for political campaigns",0
3,21498,"year",2,"ron","volunteers for political campaigns",0
3,21498,"year",2,"nancy","volunteers for political campaigns",1
3,21498,"year",2,"ashley","volunteers for political campaigns",0
3,21498,"year",2,"amanda","volunteers for political campaigns",0
3,21498,"year",2,"barbara","volunteers for political campaigns",0
3,21498,"year",2,"rick","volunteers for political campaigns",0
3,9586,"week",3,"andrew","runs",0
3,9586,"week",3,"stacy","runs",0
3,9586,"week",3,"ron","runs",1
3,9586,"week",3,"nancy","runs",0
3,9586,"week",3,"ashley","runs",0
3,9586,"week",3,"amanda","runs",0
3,9586,"week",3,"barbara","runs",0
3,9586,"week",3,"rick","runs",2
3,20439,"week",4,"andrew","drinks beer",2
3,20439,"week",4,"stacy","drinks beer",0
3,20439,"week",4,"ron","drinks beer",3
3,20439,"week",4,"nancy","drinks beer",1
3,20439,"week",4,"ashley","drinks beer",0
3,20439,"week",4,"amanda","drinks beer",0
3,20439,"week",4,"barbara","drinks beer",1
3,20439,"week",4,"rick","drinks beer",0
3,20739,"year",5,"andrew","writes novels",0
3,20739,"year",5,"stacy","writes novels",0
3,20739,"year",5,"ron","writes novels",0
3,20739,"year",5,"nancy","writes novels",0
3,20739,"year",5,"ashley","writes novels",0
3,20739,"year",5,"amanda","writes novels",0
3,20739,"year",5,"barbara","writes novels",0
3,20739,"year",5,"rick","writes novels",0
3,9670,"year",6,"andrew","sells companies",0
3,9670,"year",6,"stacy","sells companies",0
3,9670,"year",6,"ron","sells companies",0
3,9670,"year",6,"nancy","sells companies",0
3,9670,"year",6,"ashley","sells companies",0
3,9670,"year",6,"amanda","sells companies",0
3,9670,"year",6,"barbara","sells companies",0
3,9670,"year",6,"rick","sells companies",0
3,38501,"week",7,"andrew","wears slacks",0
3,38501,"week",7,"stacy","wears slacks",0
3,38501,"week",7,"ron","wears slacks",1
3,38501,"week",7,"nancy","wears slacks",3
3,38501,"week",7,"ashley","wears slacks",0
3,38501,"week",7,"amanda","wears slacks",0
3,38501,"week",7,"barbara","wears slacks",0
3,38501,"week",7,"rick","wears slacks",0
3,9150,"year",8,"andrew","climbs mountains",0
3,9150,"year",8,"stacy","climbs mountains",0
3,9150,"year",8,"ron","climbs mountains",0
3,9150,"year",8,"nancy","climbs mountains",0
3,9150,"year",8,"ashley","climbs mountains",0
3,9150,"year",8,"amanda","climbs mountains",0
3,9150,"year",8,"barbara","climbs mountains",0
3,9150,"year",8,"rick","climbs mountains",0
3,12851,"year",9,"andrew","plays the banjo",0
3,12851,"year",9,"stacy","plays the banjo",0
3,12851,"year",9,"ron","plays the banjo",0
3,12851,"year",9,"nancy","plays the banjo",0
3,12851,"year",9,"ashley","plays the banjo",0
3,12851,"year",9,"amanda","plays the banjo",0
3,12851,"year",9,"barbara","plays the banjo",0
3,12851,"year",9,"rick","plays the banjo",0
3,13640,"year",10,"andrew","writes poems",0
3,13640,"year",10,"stacy","writes poems",0
3,13640,"year",10,"ron","writes poems",0
3,13640,"year",10,"nancy","writes poems",0
3,13640,"year",10,"ashley","writes poems",0
3,13640,"year",10,"amanda","writes poems",0
3,13640,"year",10,"barbara","writes poems",0
3,13640,"year",10,"rick","writes poems",0
3,7694,"year",11,"andrew","plays tennis",0
3,7694,"year",11,"stacy","plays tennis",0
3,7694,"year",11,"ron","plays tennis",0
3,7694,"year",11,"nancy","plays tennis",1
3,7694,"year",11,"ashley","plays tennis",0
3,7694,"year",11,"amanda","plays tennis",0
3,7694,"year",11,"barbara","plays tennis",0
3,7694,"year",11,"rick","plays tennis",0
3,12551,"week",12,"andrew","smokes cigarettes",0
3,12551,"week",12,"stacy","smokes cigarettes",0
3,12551,"week",12,"ron","smokes cigarettes",15
3,12551,"week",12,"nancy","smokes cigarettes",0
3,12551,"week",12,"ashley","smokes cigarettes",0
3,12551,"week",12,"amanda","smokes cigarettes",0
3,12551,"week",12,"barbara","smokes cigarettes",0
3,12551,"week",12,"rick","smokes cigarettes",10
3,11669,"year",13,"andrew","volunteers for soup kitchens",0
3,11669,"year",13,"stacy","volunteers for soup kitchens",0
3,11669,"year",13,"ron","volunteers for soup kitchens",0
3,11669,"year",13,"nancy","volunteers for soup kitchens",2
3,11669,"year",13,"ashley","volunteers for soup kitchens",0
3,11669,"year",13,"amanda","volunteers for soup kitchens",0
3,11669,"year",13,"barbara","volunteers for soup kitchens",0
3,11669,"year",13,"rick","volunteers for soup kitchens",0
3,9930,"year",14,"andrew","goes to the ballet",0
3,9930,"year",14,"stacy","goes to the ballet",0
3,9930,"year",14,"ron","goes to the ballet",0
3,9930,"year",14,"nancy","goes to the ballet",1
3,9930,"year",14,"ashley","goes to the ballet",0
3,9930,"year",14,"amanda","goes to the ballet",0
3,9930,"year",14,"barbara","goes to the ballet",0
3,9930,"year",14,"rick","goes to the ballet",0
3,9816,"week",15,"andrew","hikes",1
3,9816,"week",15,"stacy","hikes",0
3,9816,"week",15,"ron","hikes",0
3,9816,"week",15,"nancy","hikes",0
3,9816,"week",15,"ashley","hikes",0
3,9816,"week",15,"amanda","hikes",0
3,9816,"week",15,"barbara","hikes",0
3,9816,"week",15,"rick","hikes",0
4,85270,"week",1,"Dan","wears socks",7
4,85270,"week",1,"William","wears socks",5
4,85270,"week",1,"Mary","wears socks",6
4,85270,"week",1,"Jess","wears socks",6
4,85270,"week",1,"Daniel","wears socks",3
4,85270,"week",1,"Lou","wears socks",5
4,85270,"week",1,"Abraham","wears socks",2
4,85270,"week",1,"John","wears socks",5
4,25731,"year",2,"Dan","plays the banjo",0
4,25731,"year",2,"William","plays the banjo",0
4,25731,"year",2,"Mary","plays the banjo",0
4,25731,"year",2,"Jess","plays the banjo",0
4,25731,"year",2,"Daniel","plays the banjo",0
4,25731,"year",2,"Lou","plays the banjo",0
4,25731,"year",2,"Abraham","plays the banjo",0
4,25731,"year",2,"John","plays the banjo",0
4,32847,"week",3,"Dan","wears a bra",0
4,32847,"week",3,"William","wears a bra",0
4,32847,"week",3,"Mary","wears a bra",7
4,32847,"week",3,"Jess","wears a bra",7
4,32847,"week",3,"Daniel","wears a bra",0
4,32847,"week",3,"Lou","wears a bra",0
4,32847,"week",3,"Abraham","wears a bra",0
4,32847,"week",3,"John","wears a bra",0
4,94039,"week",4,"Dan","eats caviar",0
4,94039,"week",4,"William","eats caviar",0
4,94039,"week",4,"Mary","eats caviar",0
4,94039,"week",4,"Jess","eats caviar",0
4,94039,"week",4,"Daniel","eats caviar",0
4,94039,"week",4,"Lou","eats caviar",0
4,94039,"week",4,"Abraham","eats caviar",0
4,94039,"week",4,"John","eats caviar",0
4,34636,"6 months",5,"Dan","writes poems",0
4,34636,"6 months",5,"William","writes poems",0
4,34636,"6 months",5,"Mary","writes poems",0
4,34636,"6 months",5,"Jess","writes poems",2
4,34636,"6 months",5,"Daniel","writes poems",0
4,34636,"6 months",5,"Lou","writes poems",0
4,34636,"6 months",5,"Abraham","writes poems",1
4,34636,"6 months",5,"John","writes poems",0
4,29403,"week",6,"Dan","runs",4
4,29403,"week",6,"William","runs",1
4,29403,"week",6,"Mary","runs",6
4,29403,"week",6,"Jess","runs",2
4,29403,"week",6,"Daniel","runs",2
4,29403,"week",6,"Lou","runs",0
4,29403,"week",6,"Abraham","runs",0
4,29403,"week",6,"John","runs",2
4,47820,"2 weeks",7,"Dan","drinks beer",4
4,47820,"2 weeks",7,"William","drinks beer",2
4,47820,"2 weeks",7,"Mary","drinks beer",4
4,47820,"2 weeks",7,"Jess","drinks beer",1
4,47820,"2 weeks",7,"Daniel","drinks beer",3
4,47820,"2 weeks",7,"Lou","drinks beer",7
4,47820,"2 weeks",7,"Abraham","drinks beer",1
4,47820,"2 weeks",7,"John","drinks beer",5
4,28299,"year",8,"Dan","sell things on eBay",0
4,28299,"year",8,"William","sell things on eBay",0
4,28299,"year",8,"Mary","sell things on eBay",0
4,28299,"year",8,"Jess","sell things on eBay",3
4,28299,"year",8,"Daniel","sell things on eBay",2
4,28299,"year",8,"Lou","sell things on eBay",0
4,28299,"year",8,"Abraham","sell things on eBay",0
4,28299,"year",8,"John","sell things on eBay",10
4,24445,"month",9,"Dan","eats peanut butter",3
4,24445,"month",9,"William","eats peanut butter",2
4,24445,"month",9,"Mary","eats peanut butter",8
4,24445,"month",9,"Jess","eats peanut butter",2
4,24445,"month",9,"Daniel","eats peanut butter",1
4,24445,"month",9,"Lou","eats peanut butter",3
4,24445,"month",9,"Abraham","eats peanut butter",1
4,24445,"month",9,"John","eats peanut butter",2
4,36862,"month",10,"Dan","watches professional football",2
4,36862,"month",10,"William","watches professional football",3
4,36862,"month",10,"Mary","watches professional football",1
4,36862,"month",10,"Jess","watches professional football",3
4,36862,"month",10,"Daniel","watches professional football",5
4,36862,"month",10,"Lou","watches professional football",2
4,36862,"month",10,"Abraham","watches professional football",0
4,36862,"month",10,"John","watches professional football",4
4,23271,"2 weeks",11,"Dan","hikes",0
4,23271,"2 weeks",11,"William","hikes",0
4,23271,"2 weeks",11,"Mary","hikes",0
4,23271,"2 weeks",11,"Jess","hikes",0
4,23271,"2 weeks",11,"Daniel","hikes",0
4,23271,"2 weeks",11,"Lou","hikes",0
4,23271,"2 weeks",11,"Abraham","hikes",0
4,23271,"2 weeks",11,"John","hikes",1
4,16491,"year",12,"Dan","volunteers for soup kitchens",0
4,16491,"year",12,"William","volunteers for soup kitchens",0
4,16491,"year",12,"Mary","volunteers for soup kitchens",0
4,16491,"year",12,"Jess","volunteers for soup kitchens",0
4,16491,"year",12,"Daniel","volunteers for soup kitchens",0
4,16491,"year",12,"Lou","volunteers for soup kitchens",0
4,16491,"year",12,"Abraham","volunteers for soup kitchens",0
4,16491,"year",12,"John","volunteers for soup kitchens",0
4,30897,"month",13,"Dan","goes to the movies",3
4,30897,"month",13,"William","goes to the movies",2
4,30897,"month",13,"Mary","goes to the movies",2
4,30897,"month",13,"Jess","goes to the movies",1
4,30897,"month",13,"Daniel","goes to the movies",1
4,30897,"month",13,"Lou","goes to the movies",0
4,30897,"month",13,"Abraham","goes to the movies",1
4,30897,"month",13,"John","goes to the movies",2
4,17042,"5 years",14,"Dan","writes novels",0
4,17042,"5 years",14,"William","writes novels",0
